consensusTime,searchTime,onChainTime,seqId,roundId,comId
7.278662402s,1.396761961s,7m29.948001925s,185,0,0
6.754668576s,1.375994906s,6m20.710709286s,283,0,0
6.10372294s,1.113066377s,7m59.136129941s,145,0,0
5.940240499s,1.280396303s,6m35.643419949s,263,0,0
7.016303501s,1.4808122s,9m6.811778241s,49,0,0
6.88680712s,1.023414308s,5m5.041129222s,392,0,0
5.996444928s,1.371782949s,4m24.690469621s,457,0,0
6.470461379s,1.308361139s,7m23.454211702s,198,0,0
5.355405421s,1.012801574s,7m31.848040116s,190,0,0
6.255328252s,1.021033921s,5m39.750152305s,343,0,0
6.650488554s,1.397057884s,2m46.494392932s,594,0,0
6.478016014s,1.263212927s,5m5.450073442s,400,0,0
6.149976155s,1.200268233s,2m6.047023924s,656,0,0
6.387260068s,1.055064048s,5m26.099222501s,363,0,0
6.776576579s,1.333070141s,1m3.136071727s,742,0,0
6.048483673s,1.037985147s,5m26.438058835s,361,0,0
6.615614782s,1.317751509s,1m17.21801255s,721,0,0
5.979363235s,1.101652244s,5m26.507293656s,366,0,0
6.168743767s,1.353581963s,56.884762428s,759,0,0
6.393940267s,1.210510106s,4m17.126321218s,465,0,0
6.762033841s,1.389745434s,3m7.124239543s,564,0,0
7.009933253s,1.278686019s,4m2.889788737s,485,0,0
6.487211284s,1.170320936s,3m14.663133101s,556,0,0
6.396590888s,1.341340826s,8.046167867s,829,0,0
6.255686545s,1.006515066s,8m19.264398331s,118,0,0
6.015428409s,1.064663193s,7m17.028643248s,209,0,0
6.410447107s,1.097621433s,7m16.650295792s,210,0,0
6.346916522s,1.241225871s,1m52.220934718s,673,0,0
6.166891203s,1.394109661s,6m35.415134236s,262,0,0
6.609140287s,1.347916949s,3m14.539802673s,557,0,0
6.887069277s,1.443574873s,3m48.956579643s,506,0,0
6.646538836s,1.126644991s,5m53.39061616s,326,0,0
6.81856063s,1.435852263s,5m5.130935246s,397,0,0
5.607454204s,1.170876748s,7m45.651963623s,165,0,0
6.27847473s,1.351445687s,3m21.711219669s,546,0,0
6.659616815s,1.34305059s,5m25.848162092s,369,0,0
5.757914419s,1.019779406s,1.519016846s,838,0,0
6.266095981s,1.182187831s,3m28.646388213s,539,0,0
6.303506069s,1.062717323s,6m0.51026602s,311,0,0
6.164192903s,1.289674111s,2m46.979869061s,591,0,0
6.139718405s,1.150441159s,1m45.283483227s,682,0,0
6.461390384s,1.457424741s,8m12.323222532s,121,0,0
6.668420971s,1.061308783s,1m58.567467455s,666,0,0
7.111689303s,1.436965035s,9m13.826427571s,33,0,0
5.857107375s,1.130015301s,3m49.986138465s,508,0,0
6.131856528s,1.478025349s,3m28.757454837s,538,0,0
6.450048856s,1.30301038s,3m35.366478365s,522,0,0
5.983865071s,1.164289401s,5m33.324367733s,351,0,0
5.939052404s,1.032996352s,8m26.411586461s,103,0,0
6.262615601s,1.282909196s,2m19.603074324s,631,0,0
6.212958048s,1.138457015s,3m7.685138648s,568,0,0
5.883763233s,1.041554757s,5m47.205562864s,333,0,0
6.561460678s,1.01376751s,5m32.723781337s,357,0,0
5.844485051s,1.446732889s,8m33.426325225s,95,0,0
6.290433593s,1.004023455s,6m21.149870261s,281,0,0
6.375453508s,1.470866577s,3m0.433151462s,573,0,0
5.943220166s,1.329489752s,9m14.99480704s,40,0,0
6.27812489s,1.409032086s,7m51.948517225s,159,0,0
6.246960291s,1.386143206s,7m10.042501778s,215,0,0
6.687606155s,1.300661766s,4m37.780901945s,437,0,0
5.938342704s,1.072605728s,43.36939184s,780,0,0
6.189286858s,1.140904144s,6m28.323333017s,276,0,0
6.814922106s,1.055490239s,2m12.21760089s,648,0,0
6.136305236s,1.010319605s,8m46.70955047s,78,0,0
6.322020238s,1.177809717s,1m3.606722515s,749,0,0
5.96574323s,1.055925368s,8m46.880073348s,71,0,0
6.115068303s,1.055068004s,5m26.38631338s,365,0,0
6.699737746s,1.269420118s,7m44.576820245s,161,0,0
6.402585912s,1.318078566s,3m21.602720949s,550,0,0
5.963719752s,1.35477213s,2m13.06204803s,650,0,0
5.882593399s,1.378527157s,3m0.941794241s,571,0,0
6.290665396s,1.316871527s,8.148645363s,825,0,0
6.629655801s,1.268287856s,3m35.178523608s,528,0,0
6.764218806s,1.485028789s,1m24.018077272s,718,0,0
6.400854725s,1.456351202s,5m32.89779319s,354,0,0
6.09935251s,1.093749034s,9m0.722113526s,56,0,0
6.678034752s,1.037380673s,9m34.735680375s,3,0,0
6.231479633s,1.145118159s,22.152128131s,810,0,0
4.989665461s,1.357679081s,7m24.933030912s,191,0,0
6.566847406s,1.016689396s,4m9.920347342s,479,0,0
6.667707605s,1.350956093s,9m21.051077511s,27,0,0
6.22424425s,1.298897756s,7m2.867723814s,225,0,0
6.407640423s,1.262692435s,7m51.796059847s,158,0,0
6.486558479s,1.037413305s,8m12.30879476s,125,0,0
6.273249107s,1.08815788s,1m58.948166737s,670,0,0
6.417746028s,1.189363475s,4m31.348987877s,443,0,0
5.744452654s,1.040546274s,5m6.181567194s,395,0,0
6.522066304s,1.356398912s,8m53.214383933s,61,0,0
5.733045628s,1.136455065s,1m25.044405008s,712,0,0
7.010632703s,1.461225006s,4m30.75606336s,445,0,0
6.520493937s,1.214777783s,7m2.559971066s,222,0,0
5.890027926s,1.287467113s,7m38.203858078s,173,0,0
6.147646372s,1.193314526s,2m40.111487901s,606,0,0
6.770396173s,1.396993282s,7m16.275229649s,203,0,0
6.137357785s,1.135528305s,8m46.690204174s,79,0,0
6.718247434s,1.106359068s,5m39.296586484s,346,0,0
6.637421348s,1.340768687s,28.682451609s,798,0,0
6.080465926s,1.324503007s,4m38.373834293s,440,0,0
5.442495573s,1.029072917s,4m46.02774278s,424,0,0
6.436362585s,1.384655038s,2m12.573494898s,643,0,0
6.250871493s,1.465710889s,3m49.577769199s,509,0,0
6.346703573s,1.190723515s,6m21.129376547s,286,0,0
6.399089503s,1.419928584s,4m3.475445805s,486,0,0
6.275435282s,1.358257169s,8m5.849579141s,138,0,0
5.888357653s,1.308478705s,3m35.913508019s,527,0,0
6.44471695s,1.27832845s,5m26.048231103s,362,0,0
6.885604675s,1.366599866s,7m23.045545178s,195,0,0
5.698518458s,1.161606631s,4m52.514809041s,420,0,0
6.166822719s,1.411730268s,2m53.846481229s,582,0,0
6.53852188s,1.257017142s,2m12.47992514s,644,0,0
6.146227932s,1.160644065s,1m10.989071154s,732,0,0
6.011501798s,1.23603166s,6m42.298906981s,257,0,0
6.582544757s,1.196523124s,1m37.752127234s,699,0,0
6.18893118s,1.002491714s,43.10449737s,779,0,0
6.604333025s,1.457998831s,4m16.924937341s,467,0,0
6.554494944s,1.237525289s,6m7.187769323s,304,0,0
6.117157708s,1.240463602s,6m14.579050402s,295,0,0
7.166295661s,1.456684732s,4m23.525850923s,458,0,0
6.42290593s,1.249002214s,8m25.938328164s,102,0,0
6.45634804s,1.025089708s,3m28.441191997s,540,0,0
6.146859792s,1.175382285s,6m48.816984391s,244,0,0
6.424034322s,1.151571049s,8m46.414386174s,74,0,0
5.929692488s,1.332974706s,4m10.556792252s,477,0,0
6.049366409s,1.346687273s,3m49.779037578s,505,0,0
5.940463146s,1.096346804s,6m28.564845232s,277,0,0
5.620529588s,1.263058246s,5m54.403917818s,325,0,0
6.465015045s,1.437412099s,8m39.494748256s,82,0,0
