consensusTime,searchTime,onChainTime,seqId,roundId,comId
8.434119214s,1.325598118s,4m42.651024409s,352,0,0
10.064008664s,1.311367165s,8m20.079476142s,131,0,0
8.77262253s,1.177120185s,7m40.076897995s,178,0,0
8.953831939s,1.128000958s,4m32.388348273s,361,0,0
9.99767853s,1.202404732s,1m20.505053171s,552,0,0
9.513741326s,1.354862233s,19.830725707s,619,0,0
8.711475993s,1.373079946s,20.63278904s,612,0,0
9.189731247s,1.43606831s,705.189155ms,639,0,0
9.436189393s,1.467452971s,2m10.61750066s,502,0,0
9.767114659s,1.33570974s,29.583615315s,604,0,0
9.303844402s,1.175291048s,9m19.856210435s,71,0,0
9.138552018s,1.327816579s,2m31.037889221s,485,0,0
8.767248967s,1.474528064s,3m2.216961916s,456,0,0
8.042515723s,1.303721491s,6m51.94242876s,227,0,0
9.510392913s,1.395196173s,8m0.343953046s,158,0,0
7.905204667s,1.150279809s,4m43.179578591s,358,0,0
9.965748232s,1.364524848s,9m29.647180156s,65,0,0
9.004853577s,1.002497794s,7m20.248477688s,193,0,0
8.103431928s,1.180695606s,2m21.984533311s,493,0,0
8.575206219s,1.143254365s,6m2.437389436s,272,0,0
7.768010652s,1.027030008s,8m42.054466695s,115,0,0
8.664160798s,1.12311314s,8m21.479195091s,135,0,0
8.338927117s,1.179964313s,6m51.646285441s,221,0,0
9.794014021s,1.396078308s,50.320116698s,584,0,0
7.932102485s,1.080501022s,5m23.191991256s,314,0,0
8.952104814s,1.047519218s,9m40.918910991s,53,0,0
8.394586145s,1.293052115s,1.510141365s,635,0,0
8.62847346s,1.029265952s,10.66330163s,627,0,0
8.928084803s,1.219425286s,10.363639569s,622,0,0
9.729777767s,1.444000422s,19.624984817s,620,0,0
9.32913879s,1.096379642s,20.025602758s,611,0,0
8.306781435s,1.350004842s,1.609601056s,636,0,0
9.113392169s,1.122223938s,804.622478ms,634,0,0
8.744761083s,1.423350231s,2m11.335872097s,504,0,0
8.665042558s,1.140267035s,6m41.286973349s,235,0,0
9.029751999s,1.376876303s,2m21.085320477s,494,0,0
9.558669248s,1.200042336s,5m12.374305575s,325,0,0
10.066831866s,1.250172775s,8m39.782550236s,120,0,0
9.226014847s,1.356057965s,7m10.656240313s,205,0,0
9.508639825s,1.254426161s,3m21.436275281s,432,0,0
8.937469128s,1.179066308s,6m11.919295745s,270,0,0
8.455774358s,1.078250486s,5m22.695209426s,313,0,0
9.193005194s,1.097451313s,5m21.957960224s,320,0,0
8.25039947s,1.058154697s,1m52.298223282s,526,0,0
9.032475319s,1.035470491s,5m22.118553814s,311,0,0
9.282814473s,1.38875178s,5m32.070608619s,304,0,0
9.478789141s,1.287865767s,10m30.665102315s,5,0,0
9.689594799s,1.2258028s,7m29.58680035s,187,0,0
9.363142251s,1.461479554s,6m11.494506516s,266,0,0
9.575761209s,1.430031608s,8m20.595421515s,136,0,0
8.379876956s,1.243728836s,1m12.153370478s,564,0,0
9.281435278s,1.181325605s,6m1.759063139s,280,0,0
9.421714744s,1.358637294s,6m21.10052853s,254,0,0
9.310902859s,1.122728087s,9m10.11793143s,90,0,0
8.81654849s,1.100073007s,4m1.885170947s,397,0,0
9.892935768s,1.132716481s,8m49.850272398s,107,0,0
9.066623977s,1.19404338s,1m11.466521054s,562,0,0
7.986903597s,1.008554206s,9m1.171364245s,99,0,0
10.023679074s,1.379427627s,7m49.587496769s,162,0,0
8.941655419s,1.005508183s,9m30.699128023s,67,0,0
8.626303298s,1.25291694s,9m41.27298858s,56,0,0
9.075794235s,1.350286856s,8m40.774289979s,114,0,0
7.958071016s,1.221544042s,7m21.323007279s,195,0,0
9.665206745s,1.046806785s,9m9.763438269s,83,0,0
10.123848502s,1.491092343s,9m39.775402322s,55,0,0
8.713616099s,1.412309899s,1m31.38710605s,543,0,0
8.655455631s,1.001718929s,1m51.893279553s,530,0,0
9.067956379s,1.405890768s,2m11.013522937s,507,0,0
9.596070267s,1.104057663s,7m10.286743763s,204,0,0
8.236383773s,1.136346142s,6m12.620887339s,268,0,0
8.357037534s,1.370091808s,7m1.628324052s,219,0,0
8.024097775s,1.174039539s,1m1.683022812s,575,0,0
9.524281264s,1.049289286s,1m21.006348477s,553,0,0
8.767547393s,1.29502214s,1m11.765403965s,568,0,0
9.456461373s,1.377259132s,9m50.248134637s,46,0,0
9.995049958s,1.342987739s,7m29.281108636s,185,0,0
9.680500892s,1.218957044s,8m10.210339579s,146,0,0
9.029357292s,1.135601617s,8m0.852611623s,155,0,0
8.787970902s,1.478060258s,4m32.58189951s,367,0,0
9.524914898s,1.216366486s,7m29.751565052s,181,0,0
8.924638329s,1.137633233s,3m51.778929431s,408,0,0
9.568637385s,1.40102059s,5m12.364593113s,321,0,0
8.667201764s,1.309920049s,5m22.48467024s,312,0,0
9.566681702s,1.214119602s,4m51.113603034s,341,0,0
8.716602366s,1.493581282s,8m11.173349014s,142,0,0
8.984078892s,1.45681203s,6m21.537415514s,260,0,0
8.956168504s,1.3829651s,9m10.471914378s,84,0,0
8.79221506s,1.086670869s,7m1.192738266s,220,0,0
8.841948171s,1.089014579s,10m1.099340944s,33,0,0
9.822130056s,1.491829745s,7m10.06175062s,201,0,0
9.274881979s,1.424513959s,8m10.615900684s,145,0,0
9.132005264s,1.162683427s,5m22.020244215s,315,0,0
