consensusTime,searchTime,onChainTime,seqId,roundId,comId
6.6360999s,1.2627416s,403.3941ms,247,26,0
6.2405761s,1.3978002s,806.0797ms,243,26,0
6.2416519s,1.3477214s,805.0039ms,241,26,0
7.2499559s,1.4845905s,7.0511167s,234,26,0
5.7466749s,1.0834884s,1.3091s,242,26,0
6.3523064s,1.4867286s,703.4685ms,250,26,0
6.0493844s,1.3606719s,8.2568595s,239,26,0
6.6588784s,1.4215644s,7.6473655s,237,26,0
6.1474389s,1.3015379s,5.6398828s,259,27,0
6.2817366s,1.1587096s,5.5399715s,258,27,0
7.0078286s,1.3845235s,4.8322366s,260,27,0
7.1187586s,1.4988363s,4.7307145s,254,27,0
5.9243265s,1.18796s,5.9409344s,255,27,0
6.3270039s,1.2481427s,5.5398683s,256,27,0
6.3318566s,1.2091657s,5.5350156s,257,27,0
6.6362853s,1.4549079s,5.2320183s,253,27,0
7.0449884s,1.4248513s,4.8311868s,251,27,0
6.5476312s,1.360063s,5.3343833s,252,27,0
6.140874s,1.3717597s,11.4804725s,268,29,0
6.1319247s,1.2844563s,4.628192s,275,29,0
6.5511023s,1.0208708s,11.0718906s,269,29,0
6.8622186s,1.4027604s,10.7681153s,262,29,0
6.0600697s,1.4313241s,11.5702642s,263,29,0
6.3396821s,1.3654763s,4.4277756s,280,29,0
5.6641125s,1.1817786s,11.9807623s,261,29,0
6.8781435s,1.1864108s,3.9252742s,276,29,0
5.6747374s,1.0576391s,5.1324034s,273,29,0
6.5923747s,1.4659859s,11.0798834s,265,29,0
6.2809926s,1.1779565s,4.5283893s,271,29,0
6.7886978s,1.1923687s,4.0262132s,272,29,0
5.8852077s,1.0773558s,4.9308765s,279,29,0
6.2055636s,1.0213501s,11.47472s,266,29,0
6.3192068s,1.094446s,11.3651193s,267,29,0
6.0128107s,1.2111078s,11.6715154s,264,29,0
6.1059536s,1.4785084s,4.7300809s,274,29,0
6.7120963s,1.2709569s,4.1284735s,277,29,0
6.8341491s,1.4828977s,10.8707585s,270,29,0
6.527423s,1.0367182s,4.3257008s,278,29,0
6.4142257s,1.2078665s,1.9111217s,296,31,0
6.0151648s,1.0483382s,9.2546642s,289,31,0
6.8345129s,1.2786706s,8.4506802s,281,31,0
6.4304007s,1.4117246s,8.8547924s,290,31,0
6.9349318s,1.4900257s,8.3502613s,286,31,0
6.7454035s,1.3606571s,1.6112357s,298,31,0
6.2389089s,1.0322453s,9.0552393s,283,31,0
5.9490818s,1.4277183s,9.3615568s,282,31,0
6.2493933s,1.1907297s,9.0616127s,288,31,0
5.8634587s,1.3413787s,2.5174187s,299,31,0
6.6672354s,1.060683s,8.6516296s,284,31,0
6.6661246s,1.1208144s,8.6527404s,287,31,0
6.6745148s,1.4298679s,1.7124868s,294,31,0
6.7742619s,1.0273107s,1.6127397s,291,31,0
6.4769605s,1.3678297s,1.9145156s,300,31,0
6.3812423s,1.2347688s,2.0115462s,297,31,0
5.7866996s,1.0008337s,2.6153431s,293,31,0
5.7866996s,1.1536564s,2.6153431s,295,31,0
6.0927462s,1.3512645s,2.3163439s,292,31,0
6.7939033s,1.3327027s,8.5525178s,285,31,0
6.0141281s,1.166115s,8.4565161s,305,33,0
6.6188192s,1.2868349s,7.851825s,306,33,0
6.620595s,1.1806076s,7.8500492s,302,33,0
5.5255753s,1.005533s,1.8125836s,311,33,0
6.0302023s,1.0969904s,1.3096738s,313,33,0
7.1408774s,1.4467942s,7.3426189s,308,33,0
5.8412381s,1.2368698s,1.5098459s,320,33,0
5.8417546s,1.1375966s,1.5093294s,317,33,0
6.5391176s,1.4467942s,7.9557988s,307,33,0
6.3481162s,1.271s,1.0089799s,312,33,0
6.6473389s,1.4488885s,7.8506346s,310,33,0
7.0585648s,1.2961382s,7.4487967s,304,33,0
6.2747779s,1.3489139s,1.1078509s,319,33,0
6.9799258s,1.474823s,7.5497182s,301,33,0
6.2017978s,1.2409533s,1.2082591s,315,33,0
6.5956681s,1.1152019s,7.9552662s,309,33,0
6.9045929s,1.4389185s,7.6463414s,303,33,0
5.5095002s,1.0234276s,1.9113532s,316,33,0
6.4164501s,1.2508763s,1.0072875s,318,33,0
6.4204387s,1.2730182s,1.0056994s,314,33,0
6.2303133s,1.2454371s,6.9442226s,325,34,0
6.838204s,1.4368309s,6.3363319s,329,34,0
5.4260122s,1.1918441s,703.9143ms,332,34,0
5.73221s,1.2787663s,7.4458497s,321,34,0
7.0458626s,1.4508942s,6.1385265s,327,34,0
6.1460535s,1.0418805s,0s,335,34,0
6.0437394s,1.3432539s,7.1505925s,323,34,0
5.9489916s,1.009023s,202.0753ms,336,34,0
