committee,daon,decentruth,seenfeed
367.7753889959999,1461.746771806,3698.640387995,2727.6646145909995
371.5463860740001,1466.286625111,3710.558868018,2736.4084326839998
369.3819069330001,1470.678765976,3721.814711215,2744.642503044999
368.94187171499993,1475.372492673,3733.622180629001,2753.2899613179998
372.1444823729999,1480.049689887,3744.803618368001,2761.948785339999
376.0783223960001,1484.533461765,3755.7192164980006,2770.123452087
373.7793860060001,1489.018658054,3767.0174748630006,2778.611152443
373.2400278029999,1493.556575385,3778.8880215490008,2786.775618350999
376.5633469269999,1498.271487356,3790.227704080001,2795.271629101999
380.4406551280001,1502.814706805,3800.870585748001,2803.6710312309992
378.0659206600001,1507.431553574,3812.4590472240006,2812.077747760999
377.9968655859999,1512.022559111,3824.296953997001,2820.530486586999
381.1287307459999,1516.593095059,3835.731789851001,2829.240071963999
384.7746229680001,1520.992521308,3847.516049421001,2837.831368519999
382.50246188000006,1525.392209076,3859.178658054001,2846.236897418999
382.4041642949999,1529.891565816,3870.197043017001,2854.632236733999
385.54775332699984,1534.005923451,3882.0502105260007,2863.197369017999
389.4005496180001,1538.4510099939998,3893.361441303001,2871.732234741999
387.1258193450001,1542.849967712,3904.459531553001,2880.157918314999
386.9007922519999,1547.5213242569998,3915.852263821001,2888.621308818999
390.03518213499984,1552.155252998,3926.870707914001,2896.885102847999
393.96007947700014,1556.341822617,3938.108563630001,2905.208974870999
391.5005532480001,1560.836827041,3949.615518537001,2913.462767059999
391.2446529849999,1565.4602234729998,3961.230832481001,2922.111130003999
394.4123660239998,1569.9660239429998,3972.629101910001,2930.381398759999
398.5445666250001,1574.5702646879995,3984.041011627001,2938.986283209999
395.9068705220001,1578.9357528439998,3995.537755609001,2946.951967513999
396.0772760449999,1583.430094917,4007.196764312001,2955.4070251949997
398.7249136699998,1587.87624348,4018.414517390001,2963.795700866999
403.0843348180001,1592.500784034,4029.789061206001,2971.942936152999
400.3315418270001,1596.737880032,4040.971746293001,2980.174040771999
400.5353594779999,1601.336211799,4051.941119540001,2988.649744508999
403.0922080369998,1605.658271368,4063.324974019001,2997.009404986999
407.6327730910001,1609.79169236,4074.656079245002,3005.282530212999
404.9744035830001,1614.352829007,4085.8627418920014,3013.8093276249992
405.1420595889999,1618.777962226,4097.151424354001,3021.944863958999
407.6156297329998,1623.132426462,4108.314516053001,3030.208524886999
411.8742674470001,1627.901835376,4119.752023428001,3038.830015949999
409.47465110600007,1632.425530104,4130.864203791001,3047.323235497999
409.4098459769999,1637.006994114,4142.194585905001,3055.7969898809997
412.4357425399998,1641.549847958,4153.716735528001,3064.3212183149994
416.55535865200005,1645.802436248,4165.393623255,3073.061398447
413.906485359,1650.286751705,4176.203001031,3081.4179919709995
