time,committee,daon,decentruth,seenfeed,deepthought
906,12260.0,18037.0,19360.0,19160.0,19990
911,12260.0,18037.0,19360.0,19160.0,19990
916,12260.0,18037.0,19360.0,19160.0,19990
921,12260.0,18037.0,19360.0,19160.0,19990
926,12260.0,18037.0,19360.0,19160.0,19990
931,12260.0,18037.0,19360.0,19160.0,19990
936,12260.0,18037.0,19360.0,19160.0,19990
941,12260.0,18037.0,19360.0,19160.0,19990
946,12260.0,18037.0,19360.0,19160.0,19990
951,12260.0,18037.0,19360.0,19160.0,19990
956,12260.0,18037.0,19360.0,19160.0,19990
961,12260.0,18037.0,19360.0,19160.0,19990
966,12260.0,18037.0,19360.0,19160.0,19990
971,12260.0,18037.0,19360.0,19160.0,19990
976,12260.0,18037.0,19360.0,19160.0,19990
981,12260.0,18037.0,19360.0,19160.0,19990
986,12260.0,18037.0,19360.0,19160.0,19990
991,12260.0,18037.0,19360.0,19160.0,19990
996,12260.0,18037.0,19360.0,19160.0,19990
1001,12260.0,18037.0,19360.0,19160.0,19990
1006,12260.0,18037.0,19360.0,19160.0,19990
1011,12260.0,18037.0,19360.0,19160.0,19990
1016,12260.0,18037.0,19360.0,19160.0,19990
1021,12260.0,18037.0,19360.0,19160.0,19990
1026,12260.0,18037.0,19360.0,19160.0,19990
1031,12260.0,18037.0,19360.0,19160.0,19990
1036,12260.0,18037.0,19360.0,19160.0,19990
1041,12260.0,18037.0,19360.0,19160.0,19990
1046,12260.0,18037.0,19360.0,19160.0,19990
1051,12260.0,18037.0,19360.0,19160.0,19990
1056,12260.0,18037.0,19360.0,19160.0,19990
1061,12260.0,18037.0,19360.0,19160.0,19990
1066,12260.0,18037.0,19360.0,19160.0,19990
1071,12260.0,18037.0,19360.0,19160.0,19990
1076,12260.0,18037.0,19360.0,19160.0,19990
1081,12260.0,18037.0,19360.0,19160.0,19990
1086,12260.0,18037.0,19360.0,19160.0,19990
1091,12260.0,18037.0,19360.0,19160.0,19990
1096,12260.0,18037.0,19360.0,19160.0,19990
1101,12260.0,18037.0,19360.0,19160.0,19990
1106,12260.0,18037.0,19360.0,19160.0,19990
1111,10420.0,18037.0,19360.0,19160.0,19990
1116,10420.0,18037.0,19360.0,19160.0,19990
1121,10420.0,18037.0,19360.0,19160.0,19990
1126,10420.0,18037.0,19360.0,19160.0,19990
1131,10420.0,18037.0,19360.0,18380.0,19990
1136,10420.0,18037.0,19360.0,18380.0,19990
1141,10420.0,18037.0,19360.0,18380.0,19990
1146,10420.0,18037.0,19360.0,18380.0,19990
1151,10420.0,18037.0,19360.0,18380.0,19990
1156,10420.0,18037.0,19360.0,18380.0,19990
1161,10420.0,18037.0,19360.0,18380.0,19990
1166,10420.0,16180.0,19360.0,18380.0,19990
1171,10420.0,16180.0,19360.0,18380.0,19990
1176,10420.0,16180.0,19360.0,18380.0,19990
1181,8330.0,16180.0,19360.0,18380.0,19990
1186,8330.0,16180.0,19360.0,18380.0,19989
1191,8330.0,16180.0,19360.0,18380.0,19989
1196,6540.0,16180.0,19360.0,18380.0,19989
1201,6540.0,16180.0,19360.0,18380.0,19987
1206,6540.0,16180.0,19360.0,18380.0,19987
1211,6540.0,16180.0,19360.0,18380.0,19987
1216,6540.0,16180.0,19360.0,18380.0,19987
1221,6540.0,16180.0,19360.0,18380.0,19987
1226,6540.0,16180.0,18780.0,18380.0,19987
1231,6540.0,16180.0,18780.0,18380.0,19987
1236,6540.0,16180.0,18780.0,18380.0,19987
1241,6540.0,16180.0,18780.0,18380.0,19986
1246,6540.0,16180.0,18780.0,18380.0,19986
1251,6540.0,16180.0,18780.0,18380.0,19985
1256,6540.0,16180.0,18780.0,18380.0,19985
1261,6540.0,16180.0,18780.0,18380.0,19985
1266,6540.0,16180.0,18780.0,18380.0,19985
1271,6540.0,16180.0,18780.0,18380.0,19985
1276,6540.0,16180.0,18780.0,18380.0,19985
1281,6540.0,16180.0,18780.0,18380.0,19985
1286,4399.0,16180.0,18780.0,18380.0,19985
1291,4399.0,16180.0,18780.0,18380.0,19985
1296,4399.0,16180.0,18780.0,18380.0,19985
1301,4399.0,16180.0,18780.0,18380.0,19985
1306,4399.0,16180.0,18780.0,18380.0,19984
1311,4399.0,16180.0,18780.0,18380.0,19984
1316,4399.0,16180.0,18780.0,18380.0,19983
1321,4399.0,16180.0,18780.0,18380.0,19982
1326,4399.0,16180.0,18780.0,18380.0,19982
1331,4399.0,16180.0,18780.0,18380.0,19982
1336,4399.0,16180.0,18780.0,18380.0,19982
1341,4399.0,16180.0,18780.0,18380.0,19982
1346,4399.0,16180.0,18780.0,18380.0,19982
1351,4399.0,16180.0,18780.0,18380.0,19982
1356,4399.0,16180.0,18780.0,18380.0,19980
1361,4399.0,16180.0,18780.0,18380.0,19980
1366,4399.0,16180.0,18780.0,18380.0,19980
1371,4399.0,16180.0,18780.0,18380.0,19980
1376,4399.0,16180.0,18780.0,18380.0,19980
1381,4399.0,16180.0,18780.0,18380.0,19980
1386,4399.0,16180.0,18780.0,18380.0,19980
1391,4399.0,16180.0,18780.0,18380.0,19980
1396,4399.0,16180.0,18780.0,18380.0,19980
1401,4399.0,16180.0,18780.0,18380.0,19980
1406,4399.0,16180.0,18780.0,18380.0,19980
1411,4399.0,16180.0,18780.0,18380.0,19980
1416,4399.0,16180.0,18780.0,18380.0,19980
