committee,daon,decentruth,deepthought,seenfeed
89.497153,355.3243645470001,900.3990779280001,2236.81000247,661.9461504000001
89.60382349999999,359.8850251780001,911.871627638,2265.760796371,669.8698658000001
93.8229082,364.24198212300007,922.798972471,2293.607833623,678.2266910000001
94.2228273,368.89152765000006,934.516358645,2321.824060144,686.7572965
94.0178233,373.5460264670001,945.689977802,2349.756955418,694.8657038
93.8704922,378.1373782760001,957.404538381,2377.766962137,703.5664105
98.4505356,382.75430256300007,968.665199567,2406.007763165,711.8160409999999
98.7205797,387.413145688,979.772939932,2434.170346101,720.2669494999999
98.2905727,391.872836282,991.39954259,2463.054037377,728.5797408999999
98.2501328,396.323687053,1003.074353034,2490.70350567,736.7349747999999
103.10033570000002,400.818291967,1014.600947278,2518.724715238,745.0671927
103.18478079999998,405.202719218,1026.378265673,2546.785208436,753.3437458
