committee,seqId,daon,decentruth,seenfeed,deepthought
1.3870697s,103.0,1.152998995s,1.456970029s,1.1487773s,1.251493747s
1.4572542s,104.0,1.393751414s,1.476874575s,1.3397179s,1.249295175s
1.3784813s,105.0,1.413773573s,1.448694018s,1.3644682s,1.384615552s
1.4087625s,106.0,1.29948021s,1.088333029s,1.395775s,1.175708014s
1.3133483s,107.0,1.337797406s,1.01691643s,1.0108585s,1.363367545s
1.4167714s,108.0,1.370657059s,1.244673103s,1.4706613s,1.185935523s
1.1971748s,109.0,1.380686814s,1.460092922s,1.1114293s,1.293002668s
1.2454309s,110.0,1.30273053s,1.386864138s,1.4635163s,1.265774912s
1.3248389s,111.0,1.147749054s,1.237536474s,1.0247319s,1.192997852s
1.0664314s,112.0,1.15102495s,1.228286629s,1.2734832s,1.155459275s
1.4231756s,113.0,1.095489921s,1.44071199s,1.0743806s,1.229328181s
1.4827231s,114.0,1.000666811s,1.170665904s,1.1311033s,1.246567542s
1.3858408s,115.0,1.248197333s,1.438453461s,1.3256838s,1.371063596s
1.2915171s,116.0,1.311921003s,1.384427189s,1.2333843s,1.163769404s
1.2077772s,117.0,1.448597407s,1.347056114s,1.2885592s,1.372235316s
1.2540611s,118.0,1.102213189s,1.148384326s,1.0666984s,1.00414058s
1.1583739s,119.0,1.271336153s,1.273089802s,1.4595755s,1.303821802s
1.0968412s,120.0,1.017043073s,1.126824509s,1.3905078s,1.469499516s
1.1827638s,121.0,1.037102806s,1.445940425s,1.3507306s,1.11471297s
1.2224076s,122.0,1.075397915s,1.249615216s,1.4386296s,1.355055328s
1.2253369s,123.0,1.417631487s,1.27692153s,1.3445955s,1.241143302s
1.3990514s,124.0,1.460655441s,1.443716822s,1.0655712s,1.147986611s
1.4755977s,125.0,1.455077837s,1.226390671s,1.2118013s,1.383311009s
1.0458169s,126.0,1.459566179s,1.184044947s,1.1715801s,1.276398797s
1.1907183s,127.0,1.278941448s,1.477093958s,1.1522795s,1.341637798s
1.3339184s,128.0,1.22057847s,1.300136258s,1.3470651s,1.106456447s
1.167838s,129.0,1.370049341s,1.443678829s,1.4998316s,1.344901117s
1.3236825s,130.0,1.369024119s,1.347350924s,1.3789029s,1.068217378s
1.0446903s,131.0,1.289760845s,1.040595439s,1.2817974s,1.372070608s
1.4693149s,132.0,1.095291627s,1.144036813s,1.3376022s,1.005938507s
1.4883733s,133.0,1.011677634s,1.317700273s,1.253439s,1.448788332s
1.0317516s,134.0,1.192428307s,1.171946s,1.4186969s,1.214706098s
1.2308783s,135.0,1.182512141s,1.148402728s,1.4453628s,1.087218119s
1.0323043s,136.0,1.361349947s,1.07769418s,1.1612465s,1.434573359s
1.2740501s,137.0,1.138449966s,1.074447749s,1.4014867s,1.23093211s
1.4573768s,138.0,1.36805654s,1.179045556s,1.4663805s,1.478020434s
1.4306091s,139.0,1.488832663s,1.316556481s,1.2844424s,1.172442617s
1.3745154s,140.0,1.384521906s,1.261189979s,1.2344852s,1.404293483s
1.2468977s,141.0,1.053814941s,1.170979455s,1.2846817s,1.473750451s
1.2984653s,142.0,1.491016252s,1.067843227s,1.2779653s,1.020715516s
1.4853606s,143.0,1.268394331s,1.319367988s,1.2085153s,1.487027312s
1.1357206s,144.0,1.20180485s,1.365852191s,1.2320524s,1.228091428s
1.2895934s,145.0,1.090320233s,1.193364013s,1.2668707s,1.173410879s
1.2507115s,146.0,1.157617507s,1.125891241s,1.0770511s,1.156174836s
1.0821436s,147.0,1.021560099s,1.222234698s,1.1683608s,1.266377583s
1.0136534s,148.0,1.227206993s,1.271250389s,1.3798444s,1.068982966s
1.3485416s,149.0,1.281551832s,1.341866198s,1.0921613s,1.182629833s
1.0298058s,150.0,1.153217741s,1.315031137s,1.3608935s,1.212938475s
1.119483s,151.0,1.499635883s,1.210231829s,1.4830026s,1.231901983s
1.1832135s,152.0,1.298030013s,1.274136309s,1.466553s,1.18463424s
1.0456377s,153.0,1.189615056s,1.453018033s,1.4350815s,1.128926601s
1.344927s,154.0,1.109564714s,1.404817664s,1.1660219s,1.498659222s
1.3445183s,155.0,1.2443658s,1.043904098s,1.0728262s,1.150320643s
1.2253268s,156.0,1.410807582s,1.182341227s,1.0487651s,1.068375119s
1.2657401s,157.0,1.129713766s,1.493000069s,1.4932988s,1.118700064s
1.2365599s,158.0,1.038471012s,1.477477068s,1.1764442s,1.144113492s
1.4123241s,159.0,1.112850691s,1.030320588s,1.2960002s,1.278029774s
1.1133434s,160.0,1.399818876s,1.303014506s,1.2389086s,1.414352952s
1.4047026s,161.0,1.482274247s,1.461088477s,1.0629761s,1.37133451s
1.3291193s,162.0,1.392467979s,1.470274761s,1.4625968s,1.443811044s
1.3086916s,163.0,1.29477626s,1.374807493s,1.4148838s,1.39564148s
1.1254624s,164.0,1.472394152s,1.088445646s,1.4938117s,1.07982861s
1.0869906s,165.0,1.348322837s,1.153852539s,1.0977283s,1.079824164s
1.3389348s,166.0,1.026598576s,1.440522579s,1.1325548s,1.318840933s
1.0313055s,167.0,1.154852392s,1.048794096s,1.2565123s,1.087104271s
