time,handled_num,q_len,comId
410631,6170,13830,0
410636,6170,13830,0
410641,6170,13830,0
410646,6170,13830,0
410651,6170,13830,0
410656,6170,13830,0
410661,6170,13830,0
410666,6170,13830,0
410671,6170,13830,0
410676,6170,13830,0
410681,6170,13830,0
410686,6170,13830,0
410691,6170,13830,0
410696,6170,13830,0
410701,6170,13830,0
410706,6170,13830,0
410711,6170,13830,0
410716,6170,13830,0
410721,6170,13830,0
410726,6170,13830,0
410731,6170,13830,0
410736,6170,13830,0
410741,6170,13830,0
410746,6170,13830,0
410751,6170,13830,0
410756,6170,13830,0
410761,6170,13830,0
410766,6170,13830,0
410771,6170,13830,0
410776,6170,13830,0
410781,6170,13830,0
410786,6170,13830,0
410791,6170,13830,0
410796,6170,13830,0
410801,6170,13830,0
410806,6170,13830,0
410811,6170,13830,0
410816,6170,13830,0
410821,6170,13830,0
410826,6170,13830,0
410831,6170,13830,0
410836,6170,13830,0
410841,6170,13830,0
410846,6170,13830,0
410851,6170,13830,0
410856,6170,13830,0
410861,6171,13829,0
410866,6171,13829,0
410871,6171,13829,0
410876,6171,13829,0
410881,6171,13829,0
410886,6171,13829,0
410891,6171,13829,0
410896,6171,13829,0
410901,6171,13829,0
410906,6171,13829,0
410911,6171,13829,0
410916,6171,13829,0
410921,6173,13827,0
410926,6173,13827,0
410931,6173,13827,0
410936,6173,13827,0
410941,6173,13827,0
410946,6173,13827,0
410951,6175,13825,0
410956,6175,13825,0
410961,6176,13824,0
410966,6176,13824,0
410971,6177,13823,0
410976,6177,13823,0
410981,6177,13823,0
410986,6177,13823,0
410991,6177,13823,0
410996,6179,13821,0
411001,6179,13821,0
411006,6179,13821,0
411011,6179,13821,0
411016,6179,13821,0
411021,6179,13821,0
411026,6179,13821,0
411031,6180,13820,0
411036,6180,13820,0
411041,6180,13820,0
411046,6180,13820,0
411051,6180,13820,0
411056,6180,13820,0
411061,6180,13820,0
411066,6180,13820,0
411071,6180,13820,0
411076,6180,13820,0
411081,6180,13820,0
411086,6180,13820,0
411091,6180,13820,0
411096,6180,13820,0
411101,6180,13820,0
411106,6180,13820,0
411111,6180,13820,0
411116,6180,13820,0
411121,6180,13820,0
411126,6180,13820,0
411131,6180,13820,0
411136,6180,13820,0
411141,6180,13820,0
411146,6180,13820,0
411151,6180,13820,0
411156,6180,13820,0
411161,6180,13820,0
411166,6180,13820,0
411171,6180,13820,0
411176,6180,13820,0
411181,6180,13820,0
411186,6180,13820,0
411191,6180,13820,0
411196,6180,13820,0
411201,6180,13820,0
411206,6180,13820,0
411211,6180,13820,0
411216,6180,13820,0
411221,6180,13820,0
411226,6180,13820,0
411231,6180,13820,0
411236,6180,13820,0
411241,6180,13820,0
411246,6180,13820,0
411251,6180,13820,0
411256,6180,13820,0
411261,6180,13820,0
411266,6180,13820,0
411271,6180,13820,0
411276,6180,13820,0
411281,6180,13820,0
411286,6180,13820,0
411291,6180,13820,0
411296,6180,13820,0
411301,6180,13820,0
411306,6180,13820,0
411311,6180,13820,0
411316,6180,13820,0
411321,6180,13820,0
411326,6180,13820,0
411331,6180,13820,0
411336,6180,13820,0
411341,6180,13820,0
411346,6180,13820,0
411351,6180,13820,0
411356,6180,13820,0
411361,6180,13820,0
411366,6180,13820,0
411371,6180,13820,0
411376,6180,13820,0
411381,6180,13820,0
411386,6180,13820,0
411391,6180,13820,0
411396,6180,13820,0
411401,6180,13820,0
411406,6180,13820,0
411411,6180,13820,0
411416,6180,13820,0
411421,6180,13820,0
411426,6180,13820,0
411431,6180,13820,0
411436,6180,13820,0
411441,6180,13820,0
411446,6180,13820,0
411451,6180,13820,0
411456,6180,13820,0
411461,6180,13820,0
411466,6180,13820,0
411471,6180,13820,0
411476,6180,13820,0
411481,6180,13820,0
411486,6180,13820,0
411491,6180,13820,0
411496,6180,13820,0
411501,6180,13820,0
411506,6180,13820,0
411511,6180,13820,0
411516,6180,13820,0
411521,6180,13820,0
411526,6180,13820,0
411531,6181,13819,0
411536,6181,13819,0
411541,6181,13819,0
411546,6181,13819,0
411551,6182,13818,0
411556,6184,13816,0
411561,6184,13816,0
411566,6185,13815,0
411571,6185,13815,0
411576,6186,13814,0
411581,6186,13814,0
411586,6187,13813,0
411591,6187,13813,0
411596,6187,13813,0
411601,6187,13813,0
411606,6187,13813,0
411611,6187,13813,0
411616,6187,13813,0
411621,6187,13813,0
411626,6188,13812,0
411631,6188,13812,0
411636,6188,13812,0
411641,6189,13811,0
411646,6189,13811,0
411651,6189,13811,0
411656,6189,13811,0
411661,6189,13811,0
411666,6189,13811,0
411671,6189,13811,0
411676,6189,13811,0
411681,6189,13811,0
411686,6190,13810,0
411691,6190,13810,0
411696,6190,13810,0
411701,6190,13810,0
411706,6190,13810,0
411711,6190,13810,0
411716,6190,13810,0
411721,6190,13810,0
411726,6190,13810,0
411731,6190,13810,0
411736,6190,13810,0
411741,6190,13810,0
411746,6190,13810,0
411751,6190,13810,0
411756,6190,13810,0
411761,6190,13810,0
411766,6190,13810,0
411771,6190,13810,0
411776,6190,13810,0
411781,6190,13810,0
411786,6190,13810,0
411791,6190,13810,0
411796,6190,13810,0
411801,6190,13810,0
411806,6190,13810,0
411811,6190,13810,0
411816,6190,13810,0
411821,6190,13810,0
411826,6190,13810,0
411831,6190,13810,0
411836,6190,13810,0
411841,6190,13810,0
411846,6190,13810,0
411851,6190,13810,0
411856,6190,13810,0
411861,6190,13810,0
411866,6190,13810,0
411871,6190,13810,0
411876,6190,13810,0
411881,6190,13810,0
411886,6190,13810,0
411891,6190,13810,0
411896,6190,13810,0
411901,6190,13810,0
411906,6190,13810,0
411911,6190,13810,0
411916,6190,13810,0
411921,6190,13810,0
411926,6190,13810,0
411931,6190,13810,0
411936,6190,13810,0
411941,6190,13810,0
411946,6190,13810,0
411951,6190,13810,0
411956,6190,13810,0
411961,6190,13810,0
411966,6190,13810,0
411971,6190,13810,0
